x,y,street_count,geometry,out_degree,in_degree
-8.6073555,41.1845969,3,POINT (-8.607355500000001 41.1845969),2,1
-8.6034781,41.1837765,5,POINT (-8.6034781 41.1837765),3,2
-8.5862781,41.1799073,3,POINT (-8.586278099999999 41.1799073),2,2
-8.5833243,41.181023,4,POINT (-8.583324299999999 41.181023),2,1
-8.5831314,41.1809304,4,POINT (-8.583131399999999 41.1809304),1,2
-8.5766111,41.1809001,3,POINT (-8.576611099999999 41.1809001),1,1
-8.5755391,41.1805735,3,POINT (-8.5755391 41.1805735),2,2
-8.5677654,41.1742389,3,POINT (-8.567765400000001 41.1742389),2,1
-8.5680366,41.1737275,3,POINT (-8.568036599999999 41.1737275),1,1
-8.567193,41.1715969,3,POINT (-8.567193 41.1715969),2,2
-8.5701353,41.1702078,3,POINT (-8.5701353 41.1702078),2,1
-8.5705924,41.1697681,3,POINT (-8.570592400000001 41.1697681),1,2
-8.5708255,41.1683239,3,POINT (-8.5708255 41.1683239),2,2
-8.5702377,41.1675045,4,POINT (-8.5702377 41.1675045),2,1
-8.567845,41.167218,3,POINT (-8.567845 41.167218),1,2
-8.5657587,41.1637248,3,POINT (-8.5657587 41.1637248),1,1
-8.5620708,41.1580913,3,POINT (-8.562070800000001 41.1580913),1,1
-8.5620055,41.157845,3,POINT (-8.5620055 41.157845),2,1
-8.5615977,41.1576401,4,POINT (-8.5615977 41.1576401),1,2
-8.5587853,41.1561526,3,POINT (-8.5587853 41.1561526),0,2
-8.6225065,41.1779013,3,POINT (-8.6225065 41.1779013),1,2
-8.601425,41.1834539,3,POINT (-8.601425000000001 41.1834539),1,2
-8.6094518,41.1845936,3,POINT (-8.6094518 41.1845936),2,1
-8.6096796,41.1845514,3,POINT (-8.6096796 41.1845514),1,2
-8.6134476,41.1833293,4,POINT (-8.613447600000001 41.1833293),3,3
-8.617751,41.182741,3,POINT (-8.617751 41.182741),1,1
-8.5934728,41.1809453,3,POINT (-8.593472800000001 41.1809453),1,2
-8.6280032,41.1575628,3,POINT (-8.6280032 41.1575628),2,1
-8.6331077,41.16275,3,POINT (-8.6331077 41.16275),2,1
-8.6334964,41.163241,3,POINT (-8.6334964 41.163241),1,2
-8.6096627,41.1406576,1,POINT (-8.609662699999999 41.1406576),1,1
-8.5864628,41.1432353,3,POINT (-8.5864628 41.1432353),3,2
-8.5784099,41.144493,3,POINT (-8.5784099 41.144493),2,2
-8.5656998,41.1620435,3,POINT (-8.565699800000001 41.1620435),1,2
-8.5749686,41.1520715,3,POINT (-8.5749686 41.1520715),2,1
-8.5786264,41.1499065,3,POINT (-8.578626399999999 41.1499065),1,2
